no,id_resep,nama_resep,daftar_bahan,waktu_masak,kategori,list_bahan,list_bahan_stem,list_bahan_norm,waktu_norm,kategori_list,kategori_norm
15,R0015,sayur bayam saus tiram,"bayam,wortel,brokoli,bawang putih,minyak wijen,saus tiram",20,"sup dan kuah,makanan rumahan,resep sehat / diet","['bayam', 'wortel', 'brokoli', 'bawang putih', 'minyak wijen', 'saus tiram']","['bayam', 'wortel', 'brokoli', 'bawang putih', 'minyak wijen', 'saus tiram']","['bayam', 'wortel', 'brokoli', 'bawang putih', 'minyak wijen', 'saus tiram']",20,"['sup dan kuah', 'makanan rumahan', 'resep sehat / diet']","['sup & kuah', 'makanan rumahan', 'resep sehat/diet']"
16,R0016,urap sayuran,"kelapa,daun jeruk,wortel,kacang panjang,tauge,bawang merah,bawang putih,kemiri,kencur,cabai merah,cabai rawit,terasi,garam,gula jawa,kaldu jamur,asem jawa",60,"sayur tumis,makanan rumahan","['kelapa', 'daun jeruk', 'wortel', 'kacang panjang', 'tauge', 'bawang merah', 'bawang putih', 'kemiri', 'kencur', 'cabai merah', 'cabai rawit', 'terasi', 'garam', 'gula jawa', 'kaldu jamur', 'asem jawa']","['kelapa', 'daun jeruk', 'wortel', 'kacang panjang', 'tauge', 'bawang merah', 'bawang putih', 'kemiri', 'kencur', 'cabai merah', 'cabai rawit', 'terasi', 'garam', 'gula jawa', 'kaldu jamur', 'asem jawa']","['kelapa', 'daun jeruk', 'wortel', 'kacang panjang', 'tauge', 'bawang merah', 'bawang putih', 'kemiri', 'kencur', 'cabai merah', 'cabai rawit', 'terasi', 'garam', 'gula jawa', 'kaldu jamur', 'asem jawa']",60,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
17,R0017,tumis pare,"pare,bawang merah,bawang putih,cabai keriting merah,cabai rawit merah,garam,kaldu jamur,merica bubuk,gula pasir,garam,air,minyak sayur",30,"sayur tumis,makanan rumah","['pare', 'bawang merah', 'bawang putih', 'cabai keriting merah', 'cabai rawit merah', 'garam', 'kaldu jamur', 'merica bubuk', 'gula pasir', 'garam', 'air', 'minyak sayur']","['pare', 'bawang merah', 'bawang putih', 'cabai keriting merah', 'cabai rawit merah', 'garam', 'kaldu jamur', 'merica bubuk', 'gula pasir', 'garam', 'air', 'minyak sayur']","['pare', 'bawang merah', 'bawang putih', 'cabai keriting', 'cabai rawit', 'garam', 'kaldu jamur', 'merica', 'gula pasir', 'garam', 'air', 'minyak sayur']",30,"['sayur tumis', 'makanan rumah']","['sayur tumis', 'makanan rumahan']"
18,R0018,tumis toge ikan asin,"tauge,ikan asin tenggiri,bawang merah,bawang putih,bawang bombay,cabai hijau besar,cabai merah besar,tomat,daun bawang,minyak goreng,kaldu jamur,saus tiram,gula pasir",15,"sayur tumis,makanan rumahan,ikan dan seafood","['tauge', 'ikan asin tenggiri', 'bawang merah', 'bawang putih', 'bawang bombay', 'cabai hijau besar', 'cabai merah besar', 'tomat', 'daun bawang', 'minyak goreng', 'kaldu jamur', 'saus tiram', 'gula pasir']","['tauge', 'ikan asin tenggiri', 'bawang merah', 'bawang putih', 'bawang bombay', 'cabai hijau besar', 'cabai merah besar', 'tomat', 'daun bawang', 'minyak goreng', 'kaldu jamur', 'saus tiram', 'gula pasir']","['tauge', 'ikan asin tenggiri', 'bawang merah', 'bawang putih', 'bawang bombay', 'cabai hijau besar', 'cabai merah besar', 'tomat', 'bawang daun', 'minyak goreng', 'kaldu jamur', 'saus tiram', 'gula pasir']",15,"['sayur tumis', 'makanan rumahan', 'ikan dan seafood']","['sayur tumis', 'makanan rumahan', 'ikan & seafood']"
19,R0019,kailan bawang putih,"kailan,bawang putih,saus tiram,lada bubuk,air,maizena",15,"sayur tumis,makanan rumahan","['kailan', 'bawang putih', 'saus tiram', 'lada bubuk', 'air', 'maizena']","['kail', 'bawang putih', 'saus tiram', 'lada bubuk', 'air', 'maizena']","['kail', 'bawang putih', 'saus tiram', 'lada', 'air', 'maizena']",15,"['sayur tumis', 'makanan rumahan']","['sayur tumis', 'makanan rumahan']"
20,R0020,mie goreng tauge bumbu ebi,"mie,tauge,kecap,saos seasoning,kaldu bubuk,garam,gula pasir,bawang putih,bawang merah,ebi kering,tomat,cabai merah besar,telur mata sapi untuk pelengkap,daun selada",30,"mie dan pasta, makanan rumahan","['mie', 'tauge', 'kecap', 'saos seasoning', 'kaldu bubuk', 'garam', 'gula pasir', 'bawang putih', 'bawang merah', 'ebi kering', 'tomat', 'cabai merah besar', 'telur mata sapi untuk pelengkap', 'daun selada']","['mie', 'tauge', 'kecap', 'saos seasoning', 'kaldu bubuk', 'garam', 'gula pasir', 'bawang putih', 'bawang merah', 'ebi kering', 'tomat', 'cabai merah besar', 'telur mata sapi untuk lengkap', 'daun selada']","['mie', 'tauge', 'kecap', 'saos seasoning', 'kaldu bubuk', 'garam', 'gula pasir', 'bawang putih', 'bawang merah', 'ebi kering', 'tomat', 'cabai merah besar', 'telur mata sapi untuk lengkap', 'daun selada']",30,"['mie dan pasta', 'makanan rumahan']","['mie & pasta', 'makanan rumahan']"
21,R0021,nasi goreng cabe ijo,"nasi putih,telur,minyak goreng,cabai hijau keriting,bawang merah,bawang putih,kemiri,tomat,terasi,cabai hijau,cabai hijau keriting,cabai rawit hijau,daun bawang,daun jeruk,saus tiram,gula pasir,lada bubuk,kaldu jamur,garam,sosis,kerupuk,ayam goreng bagian paha atas untuk pelengkap,bawang goreng",30,"nasi dan olahan beras,olahan pedas dan sambal","['nasi putih', 'telur', 'minyak goreng', 'cabai hijau keriting', 'bawang merah', 'bawang putih', 'kemiri', 'tomat', 'terasi', 'cabai hijau', 'cabai hijau keriting', 'cabai rawit hijau', 'daun bawang', 'daun jeruk', 'saus tiram', 'gula pasir', 'lada bubuk', 'kaldu jamur', 'garam', 'sosis', 'kerupuk', 'ayam goreng bagian paha atas untuk pelengkap', 'bawang goreng']","['nasi putih', 'telur', 'minyak goreng', 'cabai hijau keriting', 'bawang merah', 'bawang putih', 'kemiri', 'tomat', 'terasi', 'cabai hijau', 'cabai hijau keriting', 'cabai rawit hijau', 'daun bawang', 'daun jeruk', 'saus tiram', 'gula pasir', 'lada bubuk', 'kaldu jamur', 'garam', 'sosis', 'kerupuk', 'ayam goreng bagi paha atas untuk lengkap', 'bawang goreng']","['nasi putih', 'telur', 'minyak goreng', 'cabai keriting', 'bawang merah', 'bawang putih', 'kemiri', 'tomat', 'terasi', 'cabai hijau', 'cabai keriting', 'cabai rawit', 'bawang daun', 'daun jeruk', 'saus tiram', 'gula pasir', 'lada', 'kaldu jamur', 'garam', 'sosis', 'kerupuk', 'ayam goreng bagi paha atas untuk lengkap', 'bawang goreng']",30,"['nasi dan olahan beras', 'olahan pedas dan sambal']","['nasi & olahan beras', 'olahan pedas & sambal']"
22,R0022,ayam penyet cabe ijo,"ayam,bawang putih,kunyit,jahe,lengkuas,serai,daun salam,daun jeruk,garam,kaldu jamur,ketumbar bubuk,gula pasir,asam jawa,air,minyak,cabai rawit hijau,cabai hijau besar,cabai keriting hijau,bawang putih,garam,kaldu jamur,jeruk limau,minyak panas,selada,daun kemangi,mentimun,tomat,terong hijau bulat",45,"ayam,menu tradisional daerah,makanan rumah,olahan pedas dan sambal","['ayam', 'bawang putih', 'kunyit', 'jahe', 'lengkuas', 'serai', 'daun salam', 'daun jeruk', 'garam', 'kaldu jamur', 'ketumbar bubuk', 'gula pasir', 'asam jawa', 'air', 'minyak', 'cabai rawit hijau', 'cabai hijau besar', 'cabai keriting hijau', 'bawang putih', 'garam', 'kaldu jamur', 'jeruk limau', 'minyak panas', 'selada', 'daun kemangi', 'mentimun', 'tomat', 'terong hijau bulat']","['ayam', 'bawang putih', 'kunyit', 'jahe', 'lengkuas', 'serai', 'daun salam', 'daun jeruk', 'garam', 'kaldu jamur', 'ketumbar bubuk', 'gula pasir', 'asam jawa', 'air', 'minyak', 'cabai rawit hijau', 'cabai hijau besar', 'cabai keriting hijau', 'bawang putih', 'garam', 'kaldu jamur', 'jeruk limau', 'minyak panas', 'selada', 'daun kemangi', 'mentimun', 'tomat', 'terong hijau bulat']","['ayam', 'bawang putih', 'kunyit', 'jahe', 'lengkuas', 'serai', 'daun salam', 'daun jeruk', 'garam', 'kaldu jamur', 'ketumbar', 'gula pasir', 'asam jawa', 'air', 'minyak', 'cabai rawit', 'cabai hijau besar', 'cabai keriting', 'bawang putih', 'garam', 'kaldu jamur', 'jeruk limau', 'minyak panas', 'selada', 'daun kemangi', 'mentimun', 'tomat', 'terong hijau bulat']",45,"['ayam', 'menu tradisional daerah', 'makanan rumah', 'olahan pedas dan sambal']","['ayam', 'menu tradisional daerah', 'makanan rumahan', 'olahan pedas & sambal']"
23,R0023,terong raos,"air,terong,tepung bumbu,minyak goreng,bawang merah,bawang putih,cabai keriting,cabai rawit,cabai merah besar,gula,garam,lada,kaldu ayam bubuk,kecap manis,kecap asin,saus tiram,cabai merah besar,cabai ijo besar,daun bawang",30,"tumis sayur,olahan pedas dan sambal,makanan rumahan","['air', 'terong', 'tepung bumbu', 'minyak goreng', 'bawang merah', 'bawang putih', 'cabai keriting', 'cabai rawit', 'cabai merah besar', 'gula', 'garam', 'lada', 'kaldu ayam bubuk', 'kecap manis', 'kecap asin', 'saus tiram', 'cabai merah besar', 'cabai ijo besar', 'daun bawang']","['air', 'terong', 'tepung bumbu', 'minyak goreng', 'bawang merah', 'bawang putih', 'cabai keriting', 'cabai rawit', 'cabai merah besar', 'gula', 'garam', 'lada', 'kaldu ayam bubuk', 'kecap manis', 'kecap asin', 'saus tiram', 'cabai merah besar', 'cabai ijo besar', 'daun bawang']","['air', 'terong', 'tepung bumbu', 'minyak goreng', 'bawang merah', 'bawang putih', 'cabai keriting', 'cabai rawit', 'cabai merah besar', 'gula', 'garam', 'lada', 'kaldu bubuk', 'kecap manis', 'kecap asin', 'saus tiram', 'cabai merah besar', 'cabai ijo besar', 'bawang daun']",30,"['tumis sayur', 'olahan pedas dan sambal', 'makanan rumahan']","['sayur tumis', 'olahan pedas & sambal', 'makanan rumahan']"
24,R0024,telur dadar gulung crabstick,"telur ayam,crab stik,bakso sapi,daun bawang,minyak goreng,garam,lada bubuk,penyedap",15,"telur,resep anak dan bekal sekolah","['telur ayam', 'crab stik', 'bakso sapi', 'daun bawang', 'minyak goreng', 'garam', 'lada bubuk', 'penyedap']","['telur ayam', 'crab stik', 'bakso sapi', 'daun bawang', 'minyak goreng', 'garam', 'lada bubuk', 'sedap']","['telur ayam', 'crab stik', 'bakso sapi', 'bawang daun', 'minyak goreng', 'garam', 'lada', 'sedap']",15,"['telur', 'resep anak dan bekal sekolah']","['telur', 'resep anak & bekal sekolah']"
25,R0025,nasi goreng telur sosis,"nasi,sosis,telur,bawang putih,bawang merah,raja rasa,kaldu jamur,garam",20,"nasi dan olahan beras,resep anak dan bekal sekolah","['nasi', 'sosis', 'telur', 'bawang putih', 'bawang merah', 'raja rasa', 'kaldu jamur', 'garam']","['nasi', 'sosis', 'telur', 'bawang putih', 'bawang merah', 'raja rasa', 'kaldu jamur', 'garam']","['nasi', 'sosis', 'telur', 'bawang putih', 'bawang merah', 'raja rasa', 'kaldu jamur', 'garam']",20,"['nasi dan olahan beras', 'resep anak dan bekal sekolah']","['nasi & olahan beras', 'resep anak & bekal sekolah']"
26,R0026,telur gulung bayam,"telur,bayam,bawang putih,garam,lada bubuk,margarin,nasi putih,sayur sop,buah pepaya dan pir,chiaseed",30,"telur,resep anak dan bekal sekolah","['telur', 'bayam', 'bawang putih', 'garam', 'lada bubuk', 'margarin', 'nasi putih', 'sayur sop', 'buah pepaya dan pir', 'chiaseed']","['telur', 'bayam', 'bawang putih', 'garam', 'lada bubuk', 'margarin', 'nasi putih', 'sayur sop', 'buah pepaya dan pir', 'chiaseed']","['telur', 'bayam', 'bawang putih', 'garam', 'lada', 'margarin', 'nasi putih', 'sayur sop', 'buah pepaya dan pir', 'chiaseed']",30,"['telur', 'resep anak dan bekal sekolah']","['telur', 'resep anak & bekal sekolah']"
27,R0027,telur gulung bento,"telur,tomat,bawang daun,cengek,kaldu ayam bubuk,lada bubuk",20,"telur,resep anak dan bekal sekolah","['telur', 'tomat', 'bawang daun', 'cengek', 'kaldu ayam bubuk', 'lada bubuk']","['telur', 'tomat', 'bawang daun', 'cengek', 'kaldu ayam bubuk', 'lada bubuk']","['telur', 'tomat', 'bawang daun', 'cengek', 'kaldu bubuk', 'lada']",20,"['telur', 'resep anak dan bekal sekolah']","['telur', 'resep anak & bekal sekolah']"
28,R0028,roti telur goreng,"roti tawar,telur,wortel,daun bawang,garam,kaldu ayam bubuk,merica,pala bubuk",30,"camilan viral / kekinian, kue dan dessert, resep anak dan bekal sekolah","['roti tawar', 'telur', 'wortel', 'daun bawang', 'garam', 'kaldu ayam bubuk', 'merica', 'pala bubuk']","['roti tawar', 'telur', 'wortel', 'daun bawang', 'garam', 'kaldu ayam bubuk', 'merica', 'pala bubuk']","['roti tawar', 'telur', 'wortel', 'bawang daun', 'garam', 'kaldu bubuk', 'merica', 'pala']",30,"['camilan viral / kekinian', 'kue dan dessert', 'resep anak dan bekal sekolah']","['camilan viral/kekinian', 'dessert & kue manis', 'resep anak & bekal sekolah']"
29,R0029,bakwan roti tawar,"roti tawar,telur ayam,tepung terigu,wortel,kol,tauge,seledri,bawang merah,bawang putih,lada bubuk,gula,garam,air,minyak goreng",30,"camilan viral / kekinian, kue dan dessert, resep anak dan bekal sekolah","['roti tawar', 'telur ayam', 'tepung terigu', 'wortel', 'kol', 'tauge', 'seledri', 'bawang merah', 'bawang putih', 'lada bubuk', 'gula', 'garam', 'air', 'minyak goreng']","['roti tawar', 'telur ayam', 'tepung terigu', 'wortel', 'kol', 'tauge', 'seledri', 'bawang merah', 'bawang putih', 'lada bubuk', 'gula', 'garam', 'air', 'minyak goreng']","['roti tawar', 'telur ayam', 'tepung terigu', 'wortel', 'kol', 'tauge', 'seledri', 'bawang merah', 'bawang putih', 'lada', 'gula', 'garam', 'air', 'minyak goreng']",30,"['camilan viral / kekinian', 'kue dan dessert', 'resep anak dan bekal sekolah']","['camilan viral/kekinian', 'dessert & kue manis', 'resep anak & bekal sekolah']"
30,R0030,telur gulung mie,"telur,mie goreng lemonilo,garam,strawberry,susu cokelat,sosis siap makan",30,"telur,camilan viral / kekinian, kue dan dessert, resep anak dan bekal sekolah","['telur', 'mie goreng lemonilo', 'garam', 'strawberry', 'susu cokelat', 'sosis siap makan']","['telur', 'mie goreng lemonilo', 'garam', 'strawberry', 'susu cokelat', 'sosis siap makan']","['telur', 'mie goreng lemonilo', 'garam', 'strawberry', 'susu cokelat', 'sosis siap makan']",30,"['telur', 'camilan viral / kekinian', 'kue dan dessert', 'resep anak dan bekal sekolah']","['telur', 'camilan viral/kekinian', 'dessert & kue manis', 'resep anak & bekal sekolah']"
